,Indicator,EPO,PMGDA,Agg-LS,Agg-PBI,Agg-Tche,HVGrad,UMOD
0,HV,1.04 (0.00) (0),1.00 (0.00) (2),1.00 (0.00) (1),0.94 (0.00) (5),1.00 (0.00) (3),0.88 (0.00) (6),0.98 (0.01) (4)
1,Spacing,4.14 (0.28) (0),24.33 (0.51) (4),44.30 (2.26) (6),7.84 (0.79) (2),28.00 (2.06) (5),4.37 (1.06) (1),8.94 (5.90) (3)
2,Sparsity,6.09 (0.07) (2),20.88 (0.51) (4),49.54 (2.91) (6),1.90 (0.22) (0),25.16 (2.28) (5),2.14 (0.20) (1),17.90 (2.40) (3)
3,Uniform,1.98 (0.03) (1),1.84 (0.04) (3),0.13 (0.01) (6),0.27 (0.03) (5),1.89 (0.05) (2),0.93 (0.19) (4),2.11 (1.15) (0)
4,SUniform,1.24 (0.02) (3),1.27 (0.02) (2),-0.21 (0.01) (5),-0.46 (0.02) (6),1.31 (0.02) (1),0.15 (0.12) (4),1.65 (1.05) (0)
