Method,Lmin,Soft Lmin,Spacing,Sparsity,HV,IP,Cross Angle,PBI,Span
Agg-LS (Miettinen et al 1999),0.000 (0.000),-0.288 (0.002),**0.081 (0.014)**,**0.000 (0.000)**,**0.454 (0.012)**,**0.328 (0.009)**,27.138 (0.111),**1.449 (0.048)**,0.016 (0.003)
Agg-Tche (Zhang et al 2007),0.002 (0.002),-0.226 (0.003),0.977 (0.076),0.051 (0.004),0.432 (0.018),0.366 (0.014),34.253 (0.237),2.063 (0.069),0.140 (0.020)
Agg-mTche (Ma et al 2017),0.004 (0.003),-0.221 (0.004),0.899 (0.116),0.054 (0.004),0.424 (0.023),0.455 (0.026),17.753 (0.373),1.473 (0.074),0.176 (0.013)
Agg-COSMOS (Ruchte et al 2007),**0.043 (0.005)**,**-0.143 (0.009)**,1.139 (0.156),0.369 (0.091),0.417 (0.019),0.637 (0.041),**9.759 (0.890)**,1.493 (0.049),**0.496 (0.060)**
Agg-SoftTche (Lin et al 2024),0.004 (0.002),-0.248 (0.010),0.288 (0.066),0.014 (0.007),0.431 (0.017),0.357 (0.015),30.653 (0.824),1.780 (0.125),0.088 (0.026)
