,Indicator,EPO,PMGDA,Agg-LS,Agg-PBI,Agg-Tche,HVGrad,UMOD
0,HV,1.17 (0.00) (3),1.13 (0.00) (4),1.20 (0.00) (0),1.03 (0.00) (5),1.19 (0.00) (1),0.89 (0.02) (6),1.19 (0.00) (2)
1,Spacing,1.64 (0.14) (0),67.52 (1.26) (6),43.43 (0.77) (5),4.75 (0.26) (4),3.35 (0.33) (3),2.23 (1.08) (1),3.09 (0.21) (2)
2,Sparsity,2.79 (0.06) (2),88.68 (2.76) (6),52.47 (1.23) (5),0.71 (0.13) (1),4.33 (0.09) (4),0.23 (0.09) (0),4.27 (0.04) (3)
3,Uniform,1.44 (0.01) (3),1.60 (0.03) (2),0.91 (0.01) (4),0.05 (0.02) (6),1.78 (0.03) (1),0.12 (0.03) (5),1.80 (0.02) (0)
4,SUniform,0.58 (0.01) (3),0.82 (0.02) (2),0.56 (0.01) (4),-0.73 (0.01) (5),0.91 (0.00) (1),-0.94 (0.08) (6),0.91 (0.01) (0)
